subid,cond,block,epi
201,1,1,/home/despo/despolarity/data/201/rest/afni_rest_2011/2011-EPI-001_proc.nii
201,1,2,/home/despo/despolarity/data/201/rest/afni_rest_2011/2011-EPI-002_proc.nii
201,2,1,/home/despo/despolarity/data/201/rest/afni_rest_2012/2012-EPI-001_proc.nii
201,2,2,/home/despo/despolarity/data/201/rest/afni_rest_2012/2012-EPI-002_proc.nii
201,3,1,/home/despo/despolarity/data/201/rest/afni_rest_2013/2013-EPI-001_proc.nii
201,3,2,/home/despo/despolarity/data/201/rest/afni_rest_2013/2013-EPI-002_proc.nii
202,1,1,/home/despo/despolarity/data/202/rest/afni_rest_2021/2021-EPI-001_proc.nii
202,1,2,/home/despo/despolarity/data/202/rest/afni_rest_2021/2021-EPI-002_proc.nii
202,2,1,/home/despo/despolarity/data/202/rest/afni_rest_2022/2022-EPI-001_proc.nii
202,2,2,/home/despo/despolarity/data/202/rest/afni_rest_2022/2022-EPI-002_proc.nii
202,3,1,/home/despo/despolarity/data/202/rest/afni_rest_2023/2023-EPI-001_proc.nii
202,3,2,/home/despo/despolarity/data/202/rest/afni_rest_2023/2023-EPI-002_proc.nii
203,1,1,/home/despo/despolarity/data/203/rest/afni_rest_2031/2031-EPI-001_proc.nii
203,1,2,/home/despo/despolarity/data/203/rest/afni_rest_2031/2031-EPI-002_proc.nii
203,2,1,/home/despo/despolarity/data/203/rest/afni_rest_2032/2032-EPI-001_proc.nii
203,2,2,/home/despo/despolarity/data/203/rest/afni_rest_2032/2032-EPI-002_proc.nii
203,3,1,/home/despo/despolarity/data/203/rest/afni_rest_2033/2033-EPI-001_proc.nii
203,3,2,/home/despo/despolarity/data/203/rest/afni_rest_2033/2033-EPI-002_proc.nii
204,1,1,/home/despo/despolarity/data/204/rest/afni_rest_2041/2041-EPI-001_proc.nii
204,1,2,/home/despo/despolarity/data/204/rest/afni_rest_2041/2041-EPI-002_proc.nii
204,2,1,/home/despo/despolarity/data/204/rest/afni_rest_2042/2042-EPI-001_proc.nii
204,2,2,/home/despo/despolarity/data/204/rest/afni_rest_2042/2042-EPI-002_proc.nii
205,1,1,/home/despo/despolarity/data/205/rest/afni_rest_2051/2051-EPI-001_proc.nii
205,1,2,/home/despo/despolarity/data/205/rest/afni_rest_2051/2051-EPI-002_proc.nii
205,2,1,/home/despo/despolarity/data/205/rest/afni_rest_2052/2052-EPI-001_proc.nii
205,2,2,/home/despo/despolarity/data/205/rest/afni_rest_2052/2052-EPI-002_proc.nii
205,3,1,/home/despo/despolarity/data/205/rest/afni_rest_2053/2053-EPI-001_proc.nii
205,3,2,/home/despo/despolarity/data/205/rest/afni_rest_2053/2053-EPI-002_proc.nii
206,1,1,/home/despo/despolarity/data/206/rest/afni_rest_2061/2061-EPI-001_proc.nii
206,1,2,/home/despo/despolarity/data/206/rest/afni_rest_2061/2061-EPI-002_proc.nii
206,2,1,/home/despo/despolarity/data/206/rest/afni_rest_2062/2062-EPI-001_proc.nii
206,2,2,/home/despo/despolarity/data/206/rest/afni_rest_2062/2062-EPI-002_proc.nii
207,1,1,/home/despo/despolarity/data/207/rest/afni_rest_2071/2071-EPI-001_proc.nii
207,1,2,/home/despo/despolarity/data/207/rest/afni_rest_2071/2071-EPI-002_proc.nii
207,2,1,/home/despo/despolarity/data/207/rest/afni_rest_2072/2072-EPI-001_proc.nii
207,2,2,/home/despo/despolarity/data/207/rest/afni_rest_2072/2072-EPI-002_proc.nii
207,3,1,/home/despo/despolarity/data/207/rest/afni_rest_2073/2073-EPI-001_proc.nii
207,3,2,/home/despo/despolarity/data/207/rest/afni_rest_2073/2073-EPI-002_proc.nii
208,1,1,/home/despo/despolarity/data/208/rest/afni_rest_2081/2081-EPI-001_proc.nii
208,1,2,/home/despo/despolarity/data/208/rest/afni_rest_2081/2081-EPI-002_proc.nii
208,2,1,/home/despo/despolarity/data/208/rest/afni_rest_2082/2082-EPI-001_proc.nii
208,2,2,/home/despo/despolarity/data/208/rest/afni_rest_2082/2082-EPI-002_proc.nii
208,3,1,/home/despo/despolarity/data/208/rest/afni_rest_2083/2083-EPI-001_proc.nii
208,3,2,/home/despo/despolarity/data/208/rest/afni_rest_2083/2083-EPI-002_proc.nii
209,1,1,/home/despo/despolarity/data/209/rest/afni_rest_2091/2091-EPI-001_proc.nii
209,1,2,/home/despo/despolarity/data/209/rest/afni_rest_2091/2091-EPI-002_proc.nii
209,2,1,/home/despo/despolarity/data/209/rest/afni_rest_2092/2092-EPI-001_proc.nii
209,2,2,/home/despo/despolarity/data/209/rest/afni_rest_2092/2092-EPI-002_proc.nii
209,3,1,/home/despo/despolarity/data/209/rest/afni_rest_2093/2093-EPI-001_proc.nii
209,3,2,/home/despo/despolarity/data/209/rest/afni_rest_2093/2093-EPI-002_proc.nii
210,1,1,/home/despo/despolarity/data/210/rest/afni_rest_2101/2101-EPI-001_proc.nii
210,1,2,/home/despo/despolarity/data/210/rest/afni_rest_2101/2101-EPI-002_proc.nii
210,2,1,/home/despo/despolarity/data/210/rest/afni_rest_2102/2102-EPI-001_proc.nii
210,2,2,/home/despo/despolarity/data/210/rest/afni_rest_2102/2102-EPI-002_proc.nii
211,1,1,/home/despo/despolarity/data/211/rest/afni_rest_2111/2111-EPI-001_proc.nii
211,1,2,/home/despo/despolarity/data/211/rest/afni_rest_2111/2111-EPI-002_proc.nii
211,2,1,/home/despo/despolarity/data/211/rest/afni_rest_2112/2112-EPI-001_proc.nii
211,2,2,/home/despo/despolarity/data/211/rest/afni_rest_2112/2112-EPI-002_proc.nii
211,3,1,/home/despo/despolarity/data/211/rest/afni_rest_2113/2113-EPI-001_proc.nii
211,3,2,/home/despo/despolarity/data/211/rest/afni_rest_2113/2113-EPI-002_proc.nii
212,1,1,/home/despo/despolarity/data/212/rest/afni_rest_2121/2121-EPI-001_proc.nii
212,1,2,/home/despo/despolarity/data/212/rest/afni_rest_2121/2121-EPI-002_proc.nii
