subid,cond,block,epi
301,2,1,/home/despo/jrcohen/task_graphtheory/data/301/bimancoord/afni_bimancoord_3012A/3012-EPI-001_proc.nii
301,2,2,/home/despo/jrcohen/task_graphtheory/data/301/bimancoord/afni_bimancoord_3012A/3012-EPI-002_proc.nii
301,2,3,/home/despo/jrcohen/task_graphtheory/data/301/bimancoord/afni_bimancoord_3012A/3012-EPI-003_proc.nii
301,2,4,/home/despo/jrcohen/task_graphtheory/data/301/bimancoord/afni_bimancoord_3012A/3012-EPI-004_proc.nii
302,2,1,/home/despo/jrcohen/task_graphtheory/data/302/bimancoord/afni_bimancoord_3022A/3022-EPI-001_proc.nii
302,2,2,/home/despo/jrcohen/task_graphtheory/data/302/bimancoord/afni_bimancoord_3022A/3022-EPI-002_proc.nii
302,2,3,/home/despo/jrcohen/task_graphtheory/data/302/bimancoord/afni_bimancoord_3022A/3022-EPI-003_proc.nii
302,2,4,/home/despo/jrcohen/task_graphtheory/data/302/bimancoord/afni_bimancoord_3022A/3022-EPI-004_proc.nii
303,2,1,/home/despo/jrcohen/task_graphtheory/data/303/bimancoord/afni_bimancoord_3032A/3032-EPI-001_proc.nii
303,2,2,/home/despo/jrcohen/task_graphtheory/data/303/bimancoord/afni_bimancoord_3032A/3032-EPI-002_proc.nii
303,2,3,/home/despo/jrcohen/task_graphtheory/data/303/bimancoord/afni_bimancoord_3032A/3032-EPI-003_proc.nii
303,2,4,/home/despo/jrcohen/task_graphtheory/data/303/bimancoord/afni_bimancoord_3032A/3032-EPI-004_proc.nii
304,2,1,/home/despo/jrcohen/task_graphtheory/data/304/bimancoord/afni_bimancoord_3042A/3042-EPI-001_proc.nii
304,2,2,/home/despo/jrcohen/task_graphtheory/data/304/bimancoord/afni_bimancoord_3042A/3042-EPI-002_proc.nii
304,2,3,/home/despo/jrcohen/task_graphtheory/data/304/bimancoord/afni_bimancoord_3042A/3042-EPI-003_proc.nii
304,2,4,/home/despo/jrcohen/task_graphtheory/data/304/bimancoord/afni_bimancoord_3042A/3042-EPI-004_proc.nii
305,1,1,/home/despo/jrcohen/task_graphtheory/data/305/bimancoord/afni_bimancoord_3051A/3051-EPI-001_proc.nii
305,1,2,/home/despo/jrcohen/task_graphtheory/data/305/bimancoord/afni_bimancoord_3051A/3051-EPI-002_proc.nii
305,1,3,/home/despo/jrcohen/task_graphtheory/data/305/bimancoord/afni_bimancoord_3051A/3051-EPI-003_proc.nii
305,1,4,/home/despo/jrcohen/task_graphtheory/data/305/bimancoord/afni_bimancoord_3051A/3051-EPI-004_proc.nii
306,2,1,/home/despo/jrcohen/task_graphtheory/data/306/bimancoord/afni_bimancoord_3062A/3062-EPI-001_proc.nii
306,2,2,/home/despo/jrcohen/task_graphtheory/data/306/bimancoord/afni_bimancoord_3062A/3062-EPI-002_proc.nii
306,2,3,/home/despo/jrcohen/task_graphtheory/data/306/bimancoord/afni_bimancoord_3062A/3062-EPI-003_proc.nii
306,2,4,/home/despo/jrcohen/task_graphtheory/data/306/bimancoord/afni_bimancoord_3062A/3062-EPI-004_proc.nii
307,1,1,/home/despo/jrcohen/task_graphtheory/data/307/bimancoord/afni_bimancoord_3071A/3071-EPI-001_proc.nii
307,1,2,/home/despo/jrcohen/task_graphtheory/data/307/bimancoord/afni_bimancoord_3071A/3071-EPI-002_proc.nii
307,1,3,/home/despo/jrcohen/task_graphtheory/data/307/bimancoord/afni_bimancoord_3071A/3071-EPI-003_proc.nii
