subid,cond,block,epi
301,1,1,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_01_filtered.nii
301,1,2,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_02_filtered.nii
301,1,3,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_03_filtered.nii
301,1,4,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_04_filtered.nii
301,1,5,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_05_filtered.nii
301,1,6,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_06_filtered.nii
301,1,7,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_07_filtered.nii
301,1,8,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_08_filtered.nii
301,1,9,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_09_filtered.nii
301,1,10,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_0back_10_filtered.nii
301,2,1,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_01_filtered.nii
301,2,2,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_02_filtered.nii
301,2,3,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_03_filtered.nii
301,2,4,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_04_filtered.nii
301,2,5,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_05_filtered.nii
301,2,6,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_06_filtered.nii
301,2,7,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_07_filtered.nii
301,2,8,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_08_filtered.nii
301,2,9,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_09_filtered.nii
301,2,10,/home/despo/task_graphtheory/data/301/nback/afni_nback_3011A/timeseries_byblock/3011_2back_10_filtered.nii
