subid,cond,block,epi
301,1,1,/home/despo/task_graphtheory/data/301/rest/afni_rest_3011A/3011-EPI-001_proc.nii
301,1,2,/home/despo/task_graphtheory/data/301/rest/afni_rest_3011A/3011-EPI-002_proc.nii
301,2,1,/home/despo/task_graphtheory/data/301/rest/afni_rest_3012A/3012-EPI-001_proc.nii
301,2,2,/home/despo/task_graphtheory/data/301/rest/afni_rest_3012A/3012-EPI-002_proc.nii
302,1,1,/home/despo/task_graphtheory/data/302/rest/afni_rest_3021A/3021-EPI-001_proc.nii
302,1,2,/home/despo/task_graphtheory/data/302/rest/afni_rest_3021A/3021-EPI-002_proc.nii
302,2,1,/home/despo/task_graphtheory/data/302/rest/afni_rest_3022A/3022-EPI-001_proc.nii
302,2,2,/home/despo/task_graphtheory/data/302/rest/afni_rest_3022A/3022-EPI-002_proc.nii
303,1,1,/home/despo/task_graphtheory/data/303/rest/afni_rest_3031A/3031-EPI-001_proc.nii
303,1,2,/home/despo/task_graphtheory/data/303/rest/afni_rest_3031A/3031-EPI-002_proc.nii
303,2,1,/home/despo/task_graphtheory/data/303/rest/afni_rest_3032A/3032-EPI-001_proc.nii
303,2,2,/home/despo/task_graphtheory/data/303/rest/afni_rest_3032A/3032-EPI-002_proc.nii
304,1,1,/home/despo/task_graphtheory/data/304/rest/afni_rest_3041A/3041-EPI-001_proc.nii
304,1,2,/home/despo/task_graphtheory/data/304/rest/afni_rest_3041A/3041-EPI-002_proc.nii
304,2,1,/home/despo/task_graphtheory/data/304/rest/afni_rest_3042A/3042-EPI-001_proc.nii
304,2,2,/home/despo/task_graphtheory/data/304/rest/afni_rest_3042A/3042-EPI-002_proc.nii
305,1,1,/home/despo/task_graphtheory/data/305/rest/afni_rest_3051A/3051-EPI-001_proc.nii
305,1,2,/home/despo/task_graphtheory/data/305/rest/afni_rest_3051A/3051-EPI-002_proc.nii
305,2,1,/home/despo/task_graphtheory/data/305/rest/afni_rest_3052A/3052-EPI-001_proc.nii
305,2,2,/home/despo/task_graphtheory/data/305/rest/afni_rest_3052A/3052-EPI-002_proc.nii
306,1,1,/home/despo/task_graphtheory/data/306/rest/afni_rest_3061A/3061-EPI-001_proc.nii
306,1,2,/home/despo/task_graphtheory/data/306/rest/afni_rest_3061A/3061-EPI-002_proc.nii
306,2,1,/home/despo/task_graphtheory/data/306/rest/afni_rest_3062A/3062-EPI-001_proc.nii
306,2,2,/home/despo/task_graphtheory/data/306/rest/afni_rest_3062A/3062-EPI-002_proc.nii
307,1,1,/home/despo/task_graphtheory/data/307/rest/afni_rest_3071A/3071-EPI-001_proc.nii
307,1,2,/home/despo/task_graphtheory/data/307/rest/afni_rest_3071A/3071-EPI-002_proc.nii
307,2,1,/home/despo/task_graphtheory/data/307/rest/afni_rest_3072A/3072-EPI-001_proc.nii
307,2,2,/home/despo/task_graphtheory/data/307/rest/afni_rest_3072A/3072-EPI-002_proc.nii
