subid,cond,block,epi
301,1,1,/home/despo/task_graphtheory/data/301/rest/afni_rest_3011A/timeseries_byblock/3011_pre_01_filtered.nii
301,1,2,/home/despo/task_graphtheory/data/301/rest/afni_rest_3011A/timeseries_byblock/3011_post_01_filtered.nii
301,2,1,/home/despo/task_graphtheory/data/301/rest/afni_rest_3012A/timeseries_byblock/3012_pre_01_filtered.nii
301,2,2,/home/despo/task_graphtheory/data/301/rest/afni_rest_3012A/timeseries_byblock/3012_post_01_filtered.nii
302,1,1,/home/despo/task_graphtheory/data/302/rest/afni_rest_3021A/timeseries_byblock/3021_pre_01_filtered.nii
302,1,2,/home/despo/task_graphtheory/data/302/rest/afni_rest_3021A/timeseries_byblock/3021_post_01_filtered.nii
302,2,1,/home/despo/task_graphtheory/data/302/rest/afni_rest_3022A/timeseries_byblock/3022_pre_01_filtered.nii
302,2,2,/home/despo/task_graphtheory/data/302/rest/afni_rest_3022A/timeseries_byblock/3022_post_01_filtered.nii
303,1,1,/home/despo/task_graphtheory/data/303/rest/afni_rest_3031A/timeseries_byblock/3031_pre_01_filtered.nii
303,1,2,/home/despo/task_graphtheory/data/303/rest/afni_rest_3031A/timeseries_byblock/3031_post_01_filtered.nii
303,2,1,/home/despo/task_graphtheory/data/303/rest/afni_rest_3032A/timeseries_byblock/3032_pre_01_filtered.nii
303,2,2,/home/despo/task_graphtheory/data/303/rest/afni_rest_3032A/timeseries_byblock/3032_post_01_filtered.nii
304,1,1,/home/despo/task_graphtheory/data/304/rest/afni_rest_3041A/timeseries_byblock/3041_pre_01_filtered.nii
304,1,2,/home/despo/task_graphtheory/data/304/rest/afni_rest_3041A/timeseries_byblock/3041_post_01_filtered.nii
304,2,1,/home/despo/task_graphtheory/data/304/rest/afni_rest_3042A/timeseries_byblock/3042_pre_01_filtered.nii
304,2,2,/home/despo/task_graphtheory/data/304/rest/afni_rest_3042A/timeseries_byblock/3042_post_01_filtered.nii
305,1,1,/home/despo/task_graphtheory/data/305/rest/afni_rest_3051A/timeseries_byblock/3051_pre_01_filtered.nii
305,1,2,/home/despo/task_graphtheory/data/305/rest/afni_rest_3051A/timeseries_byblock/3051_post_01_filtered.nii
305,2,1,/home/despo/task_graphtheory/data/305/rest/afni_rest_3052A/timeseries_byblock/3052_pre_01_filtered.nii
305,2,2,/home/despo/task_graphtheory/data/305/rest/afni_rest_3052A/timeseries_byblock/3052_post_01_filtered.nii
306,1,1,/home/despo/task_graphtheory/data/306/rest/afni_rest_3061A/timeseries_byblock/3061_pre_01_filtered.nii
306,1,2,/home/despo/task_graphtheory/data/306/rest/afni_rest_3061A/timeseries_byblock/3061_post_01_filtered.nii
306,2,1,/home/despo/task_graphtheory/data/306/rest/afni_rest_3062A/timeseries_byblock/3062_pre_01_filtered.nii
306,2,2,/home/despo/task_graphtheory/data/306/rest/afni_rest_3062A/timeseries_byblock/3062_post_01_filtered.nii
307,1,1,/home/despo/task_graphtheory/data/307/rest/afni_rest_3071A/timeseries_byblock/3071_pre_01_filtered.nii
307,1,2,/home/despo/task_graphtheory/data/307/rest/afni_rest_3071A/timeseries_byblock/3071_post_01_filtered.nii
307,2,1,/home/despo/task_graphtheory/data/307/rest/afni_rest_3072A/timeseries_byblock/3072_pre_01_filtered.nii
307,2,2,/home/despo/task_graphtheory/data/307/rest/afni_rest_3072A/timeseries_byblock/3072_post_01_filtered.nii
308,1,1,/home/despo/task_graphtheory/data/308/rest/afni_rest_3081A/timeseries_byblock/3081_pre_01_filtered.nii
308,1,2,/home/despo/task_graphtheory/data/308/rest/afni_rest_3081A/timeseries_byblock/3081_post_01_filtered.nii
308,2,1,/home/despo/task_graphtheory/data/308/rest/afni_rest_3082A/timeseries_byblock/3082_pre_01_filtered.nii
308,2,2,/home/despo/task_graphtheory/data/308/rest/afni_rest_3082A/timeseries_byblock/3082_post_01_filtered.nii
309,1,1,/home/despo/task_graphtheory/data/309/rest/afni_rest_3091A/timeseries_byblock/3091_pre_01_filtered.nii
309,1,2,/home/despo/task_graphtheory/data/309/rest/afni_rest_3091A/timeseries_byblock/3091_post_01_filtered.nii
309,2,1,/home/despo/task_graphtheory/data/309/rest/afni_rest_3092A/timeseries_byblock/3092_pre_01_filtered.nii
309,2,2,/home/despo/task_graphtheory/data/309/rest/afni_rest_3092A/timeseries_byblock/3092_post_01_filtered.nii
310,1,1,/home/despo/task_graphtheory/data/310/rest/afni_rest_3101A/timeseries_byblock/3101_pre_01_filtered.nii
310,1,2,/home/despo/task_graphtheory/data/310/rest/afni_rest_3101A/timeseries_byblock/3101_post_01_filtered.nii
310,2,1,/home/despo/task_graphtheory/data/310/rest/afni_rest_3102A/timeseries_byblock/3102_pre_01_filtered.nii
310,2,2,/home/despo/task_graphtheory/data/310/rest/afni_rest_3102A/timeseries_byblock/3102_post_01_filtered.nii
311,1,1,/home/despo/task_graphtheory/data/311/rest/afni_rest_3111A/timeseries_byblock/3111_pre_01_filtered.nii
311,1,2,/home/despo/task_graphtheory/data/311/rest/afni_rest_3111A/timeseries_byblock/3111_post_01_filtered.nii
311,2,1,/home/despo/task_graphtheory/data/311/rest/afni_rest_3112A/timeseries_byblock/3112_pre_01_filtered.nii
311,2,2,/home/despo/task_graphtheory/data/311/rest/afni_rest_3112A/timeseries_byblock/3112_post_01_filtered.nii
312,1,1,/home/despo/task_graphtheory/data/312/rest/afni_rest_3121A/timeseries_byblock/3121_pre_01_filtered.nii
312,1,2,/home/despo/task_graphtheory/data/312/rest/afni_rest_3121A/timeseries_byblock/3121_post_01_filtered.nii
312,2,1,/home/despo/task_graphtheory/data/312/rest/afni_rest_3122A/timeseries_byblock/3122_pre_01_filtered.nii
312,2,2,/home/despo/task_graphtheory/data/312/rest/afni_rest_3122A/timeseries_byblock/3122_post_01_filtered.nii
313,1,1,/home/despo/task_graphtheory/data/313/rest/afni_rest_3131A/timeseries_byblock/3131_pre_01_filtered.nii
313,1,2,/home/despo/task_graphtheory/data/313/rest/afni_rest_3131A/timeseries_byblock/3131_post_01_filtered.nii
313,2,1,/home/despo/task_graphtheory/data/313/rest/afni_rest_3132A/timeseries_byblock/3132_pre_01_filtered.nii
313,2,2,/home/despo/task_graphtheory/data/313/rest/afni_rest_3132A/timeseries_byblock/3132_post_01_filtered.nii
314,1,1,/home/despo/task_graphtheory/data/314/rest/afni_rest_3141A/timeseries_byblock/3141_pre_01_filtered.nii
314,1,2,/home/despo/task_graphtheory/data/314/rest/afni_rest_3141A/timeseries_byblock/3141_post_01_filtered.nii
314,2,1,/home/despo/task_graphtheory/data/314/rest/afni_rest_3142A/timeseries_byblock/3142_pre_01_filtered.nii
314,2,2,/home/despo/task_graphtheory/data/314/rest/afni_rest_3142A/timeseries_byblock/3142_post_01_filtered.nii
315,1,1,/home/despo/task_graphtheory/data/315/rest/afni_rest_3151A/timeseries_byblock/3151_pre_01_filtered.nii
315,1,2,/home/despo/task_graphtheory/data/315/rest/afni_rest_3151A/timeseries_byblock/3151_post_01_filtered.nii
315,2,1,/home/despo/task_graphtheory/data/315/rest/afni_rest_3152A/timeseries_byblock/3152_pre_01_filtered.nii
315,2,2,/home/despo/task_graphtheory/data/315/rest/afni_rest_3152A/timeseries_byblock/3152_post_01_filtered.nii
316,1,1,/home/despo/task_graphtheory/data/316/rest/afni_rest_3161A/timeseries_byblock/3161_pre_01_filtered.nii
316,1,2,/home/despo/task_graphtheory/data/316/rest/afni_rest_3161A/timeseries_byblock/3161_post_01_filtered.nii
316,2,1,/home/despo/task_graphtheory/data/316/rest/afni_rest_3162A/timeseries_byblock/3162_pre_01_filtered.nii
316,2,2,/home/despo/task_graphtheory/data/316/rest/afni_rest_3162A/timeseries_byblock/3162_post_01_filtered.nii
317,1,1,/home/despo/task_graphtheory/data/317/rest/afni_rest_3171A/timeseries_byblock/3171_pre_01_filtered.nii
317,1,2,/home/despo/task_graphtheory/data/317/rest/afni_rest_3171A/timeseries_byblock/3171_post_01_filtered.nii
317,2,1,/home/despo/task_graphtheory/data/317/rest/afni_rest_3172A/timeseries_byblock/3172_pre_01_filtered.nii
317,2,2,/home/despo/task_graphtheory/data/317/rest/afni_rest_3172A/timeseries_byblock/3172_post_01_filtered.nii
318,1,1,/home/despo/task_graphtheory/data/318/rest/afni_rest_3181A/timeseries_byblock/3181_pre_01_filtered.nii
318,1,2,/home/despo/task_graphtheory/data/318/rest/afni_rest_3181A/timeseries_byblock/3181_post_01_filtered.nii
318,2,1,/home/despo/task_graphtheory/data/318/rest/afni_rest_3182A/timeseries_byblock/3182_pre_01_filtered.nii
318,2,2,/home/despo/task_graphtheory/data/318/rest/afni_rest_3182A/timeseries_byblock/3182_post_01_filtered.nii
319,1,1,/home/despo/task_graphtheory/data/319/rest/afni_rest_3191A/timeseries_byblock/3191_pre_01_filtered.nii
319,1,2,/home/despo/task_graphtheory/data/319/rest/afni_rest_3191A/timeseries_byblock/3191_post_01_filtered.nii
319,2,1,/home/despo/task_graphtheory/data/319/rest/afni_rest_3192A/timeseries_byblock/3192_pre_01_filtered.nii
319,2,2,/home/despo/task_graphtheory/data/319/rest/afni_rest_3192A/timeseries_byblock/3192_post_01_filtered.nii
320,1,1,/home/despo/task_graphtheory/data/320/rest/afni_rest_3201A/timeseries_byblock/3201_pre_01_filtered.nii
320,1,2,/home/despo/task_graphtheory/data/320/rest/afni_rest_3201A/timeseries_byblock/3201_post_01_filtered.nii
320,2,1,/home/despo/task_graphtheory/data/320/rest/afni_rest_3202A/timeseries_byblock/3202_pre_01_filtered.nii
320,2,2,/home/despo/task_graphtheory/data/320/rest/afni_rest_3202A/timeseries_byblock/3202_post_01_filtered.nii
321,1,1,/home/despo/task_graphtheory/data/321/rest/afni_rest_3211A/timeseries_byblock/3211_pre_01_filtered.nii
321,1,2,/home/despo/task_graphtheory/data/321/rest/afni_rest_3211A/timeseries_byblock/3211_post_01_filtered.nii
321,2,1,/home/despo/task_graphtheory/data/321/rest/afni_rest_3212A/timeseries_byblock/3212_pre_01_filtered.nii
321,2,2,/home/despo/task_graphtheory/data/321/rest/afni_rest_3212A/timeseries_byblock/3212_post_01_filtered.nii
322,1,1,/home/despo/task_graphtheory/data/322/rest/afni_rest_3221A/timeseries_byblock/3221_pre_01_filtered.nii
322,1,2,/home/despo/task_graphtheory/data/322/rest/afni_rest_3221A/timeseries_byblock/3221_post_01_filtered.nii
322,2,1,/home/despo/task_graphtheory/data/322/rest/afni_rest_3222A/timeseries_byblock/3222_pre_01_filtered.nii
322,2,2,/home/despo/task_graphtheory/data/322/rest/afni_rest_3222A/timeseries_byblock/3222_post_01_filtered.nii
323,1,1,/home/despo/task_graphtheory/data/323/rest/afni_rest_3231A/timeseries_byblock/3231_pre_01_filtered.nii
323,1,2,/home/despo/task_graphtheory/data/323/rest/afni_rest_3231A/timeseries_byblock/3231_post_01_filtered.nii
323,2,1,/home/despo/task_graphtheory/data/323/rest/afni_rest_3232A/timeseries_byblock/3232_pre_01_filtered.nii
323,2,2,/home/despo/task_graphtheory/data/323/rest/afni_rest_3232A/timeseries_byblock/3232_post_01_filtered.nii
324,1,1,/home/despo/task_graphtheory/data/324/rest/afni_rest_3241A/timeseries_byblock/3241_pre_01_filtered.nii
324,1,2,/home/despo/task_graphtheory/data/324/rest/afni_rest_3241A/timeseries_byblock/3241_post_01_filtered.nii
324,2,1,/home/despo/task_graphtheory/data/324/rest/afni_rest_3242A/timeseries_byblock/3242_pre_01_filtered.nii
324,2,2,/home/despo/task_graphtheory/data/324/rest/afni_rest_3242A/timeseries_byblock/3242_post_01_filtered.nii
325,1,1,/home/despo/task_graphtheory/data/325/rest/afni_rest_3251A/timeseries_byblock/3251_pre_01_filtered.nii
325,1,2,/home/despo/task_graphtheory/data/325/rest/afni_rest_3251A/timeseries_byblock/3251_post_01_filtered.nii
325,2,1,/home/despo/task_graphtheory/data/325/rest/afni_rest_3252A/timeseries_byblock/3252_pre_01_filtered.nii
325,2,2,/home/despo/task_graphtheory/data/325/rest/afni_rest_3252A/timeseries_byblock/3252_post_01_filtered.nii
326,1,1,/home/despo/task_graphtheory/data/326/rest/afni_rest_3261A/timeseries_byblock/3261_pre_01_filtered.nii
326,1,2,/home/despo/task_graphtheory/data/326/rest/afni_rest_3261A/timeseries_byblock/3261_post_01_filtered.nii
326,2,1,/home/despo/task_graphtheory/data/326/rest/afni_rest_3262A/timeseries_byblock/3262_pre_01_filtered.nii
326,2,2,/home/despo/task_graphtheory/data/326/rest/afni_rest_3262A/timeseries_byblock/3262_post_01_filtered.nii
327,1,1,/home/despo/task_graphtheory/data/327/rest/afni_rest_3271A/timeseries_byblock/3271_pre_01_filtered.nii
327,1,2,/home/despo/task_graphtheory/data/327/rest/afni_rest_3271A/timeseries_byblock/3271_post_01_filtered.nii
327,2,1,/home/despo/task_graphtheory/data/327/rest/afni_rest_3272A/timeseries_byblock/3272_pre_01_filtered.nii
327,2,2,/home/despo/task_graphtheory/data/327/rest/afni_rest_3272A/timeseries_byblock/3272_post_01_filtered.nii
328,1,1,/home/despo/task_graphtheory/data/328/rest/afni_rest_3281A/timeseries_byblock/3281_pre_01_filtered.nii
328,1,2,/home/despo/task_graphtheory/data/328/rest/afni_rest_3281A/timeseries_byblock/3281_post_01_filtered.nii
328,2,1,/home/despo/task_graphtheory/data/328/rest/afni_rest_3282A/timeseries_byblock/3282_pre_01_filtered.nii
328,2,2,/home/despo/task_graphtheory/data/328/rest/afni_rest_3282A/timeseries_byblock/3282_post_01_filtered.nii
329,1,1,/home/despo/task_graphtheory/data/329/rest/afni_rest_3291A/timeseries_byblock/3291_pre_01_filtered.nii
