subid,cond,block,epi
301,1,1,/home/despo/task_graphtheory/data/301/rest/afni_rest_3011A/3011-EPI-pre_proc_filtered.nii
301,1,2,/home/despo/task_graphtheory/data/301/rest/afni_rest_3011A/3011-EPI-post_proc_filtered.nii
301,2,1,/home/despo/task_graphtheory/data/301/rest/afni_rest_3012A/3012-EPI-pre_proc_filtered.nii
301,2,2,/home/despo/task_graphtheory/data/301/rest/afni_rest_3012A/3012-EPI-post_proc_filtered.nii
302,1,1,/home/despo/task_graphtheory/data/302/rest/afni_rest_3021A/3021-EPI-pre_proc_filtered.nii
302,1,2,/home/despo/task_graphtheory/data/302/rest/afni_rest_3021A/3021-EPI-post_proc_filtered.nii
302,2,1,/home/despo/task_graphtheory/data/302/rest/afni_rest_3022A/3022-EPI-pre_proc_filtered.nii
302,2,2,/home/despo/task_graphtheory/data/302/rest/afni_rest_3022A/3022-EPI-post_proc_filtered.nii
303,1,1,/home/despo/task_graphtheory/data/303/rest/afni_rest_3031A/3031-EPI-pre_proc_filtered.nii
303,1,2,/home/despo/task_graphtheory/data/303/rest/afni_rest_3031A/3031-EPI-post_proc_filtered.nii
303,2,1,/home/despo/task_graphtheory/data/303/rest/afni_rest_3032A/3032-EPI-pre_proc_filtered.nii
303,2,2,/home/despo/task_graphtheory/data/303/rest/afni_rest_3032A/3032-EPI-post_proc_filtered.nii
304,1,1,/home/despo/task_graphtheory/data/304/rest/afni_rest_3041A/3041-EPI-pre_proc_filtered.nii
304,1,2,/home/despo/task_graphtheory/data/304/rest/afni_rest_3041A/3041-EPI-post_proc_filtered.nii
304,2,1,/home/despo/task_graphtheory/data/304/rest/afni_rest_3042A/3042-EPI-pre_proc_filtered.nii
304,2,2,/home/despo/task_graphtheory/data/304/rest/afni_rest_3042A/3042-EPI-post_proc_filtered.nii
305,1,1,/home/despo/task_graphtheory/data/305/rest/afni_rest_3051A/3051-EPI-pre_proc_filtered.nii
305,1,2,/home/despo/task_graphtheory/data/305/rest/afni_rest_3051A/3051-EPI-post_proc_filtered.nii
305,2,1,/home/despo/task_graphtheory/data/305/rest/afni_rest_3052A/3052-EPI-pre_proc_filtered.nii
305,2,2,/home/despo/task_graphtheory/data/305/rest/afni_rest_3052A/3052-EPI-post_proc_filtered.nii
306,1,1,/home/despo/task_graphtheory/data/306/rest/afni_rest_3061A/3061-EPI-pre_proc_filtered.nii
306,1,2,/home/despo/task_graphtheory/data/306/rest/afni_rest_3061A/3061-EPI-post_proc_filtered.nii
306,2,1,/home/despo/task_graphtheory/data/306/rest/afni_rest_3062A/3062-EPI-pre_proc_filtered.nii
306,2,2,/home/despo/task_graphtheory/data/306/rest/afni_rest_3062A/3062-EPI-post_proc_filtered.nii
307,1,1,/home/despo/task_graphtheory/data/307/rest/afni_rest_3071A/3071-EPI-pre_proc_filtered.nii
307,1,2,/home/despo/task_graphtheory/data/307/rest/afni_rest_3071A/3071-EPI-post_proc_filtered.nii
307,2,1,/home/despo/task_graphtheory/data/307/rest/afni_rest_3072A/3072-EPI-pre_proc_filtered.nii
307,2,2,/home/despo/task_graphtheory/data/307/rest/afni_rest_3072A/3072-EPI-post_proc_filtered.nii
308,1,1,/home/despo/task_graphtheory/data/308/rest/afni_rest_3081A/3081-EPI-pre_proc_filtered.nii
308,1,2,/home/despo/task_graphtheory/data/308/rest/afni_rest_3081A/3081-EPI-post_proc_filtered.nii
308,2,1,/home/despo/task_graphtheory/data/308/rest/afni_rest_3082A/3082-EPI-pre_proc_filtered.nii
308,2,2,/home/despo/task_graphtheory/data/308/rest/afni_rest_3082A/3082-EPI-post_proc_filtered.nii
309,1,1,/home/despo/task_graphtheory/data/309/rest/afni_rest_3091A/3091-EPI-pre_proc_filtered.nii
